Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
2,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
3,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
4,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
5,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
6,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
7,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
8,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
9,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
10,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
11,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
12,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
13,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
14,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
15,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
16,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
17,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
18,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
19,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
20,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
21,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
22,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
23,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
24,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
25,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
26,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
27,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
28,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
29,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
30,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
31,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
32,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
33,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
34,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
35,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
36,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
37,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
38,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
39,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
40,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
41,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
42,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
43,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
44,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
45,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
46,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
47,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
48,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
49,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
50,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
51,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
52,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
53,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
54,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
55,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
56,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
57,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
58,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
59,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
60,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
61,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
62,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
63,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
64,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
65,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
66,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
67,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
68,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
69,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
70,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
71,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
72,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
73,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
74,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
75,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
76,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
77,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
78,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
79,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
80,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
81,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
82,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
83,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
84,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
85,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
86,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
87,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
88,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
89,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
90,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
91,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
92,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
93,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
94,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
95,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
96,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
97,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
98,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
99,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
100,0.2,1000,0.2,0.3,0.1,1500,0.1,0.2,0.3,40,0.999,0.999,6,13.75,50,3,1e-4,0.061
